fpl_code,understat_id,match_method,confidence,verified_by,verified_ts
487838,10216,exact_normalised_name_team,high,,
119471,76,exact_normalised_name_team,high,,
220237,8635,exact_normalised_name_team,high,,
78916,7382,exact_normalised_name_team,high,,
77794,652,exact_normalised_name_team,high,,
111773,1545,exact_normalised_name_team,high,,
101148,766,exact_normalised_name_team,high,,
545477,12199,exact_normalised_name_team,high,,
232826,8150,exact_normalised_name_team,high,,
449434,9524,exact_normalised_name_team,high,,
201666,6681,exact_normalised_name_team,high,,
114243,6063,exact_normalised_name_team,high,,
432422,7958,exact_normalised_name_team,high,,
200089,6630,exact_normalised_name_team,high,,
547719,11386,exact_normalised_name_team,high,,
538207,9556,exact_normalised_name_team,high,,
599303,13532,exact_normalised_name_team,high,,
225321,5603,exact_normalised_name_team,high,,
465642,8378,exact_normalised_name_team,high,,
470313,8117,exact_normalised_name_team,high,,
206325,2958,exact_normalised_name_team,high,,
88248,8786,exact_normalised_name_team,high,,
432714,10126,exact_normalised_name_team,high,,
85633,6903,exact_normalised_name_team,high,,
227444,6174,exact_normalised_name_team,high,,
159506,725,exact_normalised_name_team,high,,
215136,8204,exact_normalised_name_team,high,,
549067,13306,exact_normalised_name_team,high,,
222531,6857,exact_normalised_name_team,high,,
209046,6456,exact_normalised_name_team,high,,
215379,9154,exact_normalised_name_team,high,,
250199,8252,exact_normalised_name_team,high,,
210462,5722,exact_normalised_name_team,high,,
204968,11003,exact_normalised_name_team,high,,
60689,4456,exact_normalised_name_team,high,,
210156,7814,exact_normalised_name_team,high,,
456512,8662,exact_normalised_name_team,high,,
107265,5544,exact_normalised_name_team,high,,
503301,10348,exact_normalised_name_team,high,,
500151,12905,exact_normalised_name_team,high,,
476887,8920,exact_normalised_name_team,high,,
469130,11936,exact_normalised_name_team,high,,
470315,8401,exact_normalised_name_team,high,,
487676,13713,exact_normalised_name_team,high,,
461195,8537,exact_normalised_name_team,high,,
167512,14099,exact_normalised_name_team,high,,
519634,13714,exact_normalised_name_team,high,,
535818,11710,exact_normalised_name_team,high,,
547027,9767,exact_normalised_name_team,high,,
124165,925,exact_normalised_name_team,high,,
484420,8651,exact_normalised_name_team,high,,
461199,11461,exact_normalised_name_team,high,,
223336,13720,exact_normalised_name_team,high,,
554197,13719,exact_normalised_name_team,high,,
577669,13716,exact_normalised_name_team,high,,
549912,13717,exact_normalised_name_team,high,,
437505,7148,exact_normalised_name_team,high,,
84450,204,exact_normalised_name_team,high,,
498016,13712,exact_normalised_name_team,high,,
105717,1760,exact_normalised_name_team,high,,
201895,8986,exact_normalised_name_team,high,,
200834,5659,exact_normalised_name_team,high,,
247955,13064,exact_normalised_name_team,high,,
441264,9789,exact_normalised_name_team,high,,
110504,695,exact_normalised_name_team,high,,
699989,14460,exact_normalised_name_team,high,,
515046,14425,exact_normalised_name_team,high,,
536661,14424,exact_normalised_name_team,high,,
184254,8858,exact_normalised_name_team,high,,
485055,13348,exact_normalised_name_team,high,,
221632,7218,exact_normalised_name_team,high,,
135720,5261,exact_normalised_name_team,high,,
115556,660,exact_normalised_name_team,high,,
493125,9105,exact_normalised_name_team,high,,
232859,10764,exact_normalised_name_team,high,,
491279,10050,exact_normalised_name_team,high,,
172780,6818,exact_normalised_name_team,high,,
460842,12027,exact_normalised_name_team,high,,
511499,9780,exact_normalised_name_team,high,,
202993,6108,exact_normalised_name_team,high,,
570526,12912,exact_normalised_name_team,high,,
227127,5609,exact_normalised_name_team,high,,
550839,10822,exact_normalised_name_team,high,,
547701,10184,exact_normalised_name_team,high,,
499726,13224,exact_normalised_name_team,high,,
490145,9332,exact_normalised_name_team,high,,
493362,8700,exact_normalised_name_team,high,,
247693,5743,exact_normalised_name_team,high,,
640419,14134,exact_normalised_name_team,high,,
499716,14176,exact_normalised_name_team,high,,
232787,9040,exact_normalised_name_team,high,,
84182,2310,exact_normalised_name_team,high,,
613804,13723,exact_normalised_name_team,high,,
233963,6722,exact_normalised_name_team,high,,
462116,6816,exact_normalised_name_team,high,,
214590,5584,exact_normalised_name_team,high,,
215439,8288,exact_normalised_name_team,high,,
450070,9492,exact_normalised_name_team,high,,
197024,8267,exact_normalised_name_team,high,,
490885,12474,exact_normalised_name_team,high,,
229384,12774,exact_normalised_name_team,high,,
490142,13724,exact_normalised_name_team,high,,
178186,1776,exact_normalised_name_team,high,,
91889,6098,exact_normalised_name_team,high,,
565431,12359,exact_normalised_name_team,high,,
158534,885,exact_normalised_name_team,high,,
75115,468,exact_normalised_name_team,high,,
467189,12910,exact_normalised_name_team,high,,
564940,10770,exact_normalised_name_team,high,,
602903,13247,exact_normalised_name_team,high,,
630699,14219,exact_normalised_name_team,high,,
247670,10948,exact_normalised_name_team,high,,
220362,6885,exact_normalised_name_team,high,,
101982,978,exact_normalised_name_team,high,,
79602,11361,exact_normalised_name_team,high,,
516939,10856,exact_normalised_name_team,high,,
87835,6852,exact_normalised_name_team,high,,
441271,8351,exact_normalised_name_team,high,,
231057,7762,exact_normalised_name_team,high,,
433312,7908,exact_normalised_name_team,high,,
497606,12234,exact_normalised_name_team,high,,
596054,13220,exact_normalised_name_team,high,,
429414,8812,exact_normalised_name_team,high,,
230376,13741,exact_normalised_name_team,high,,
497949,13740,exact_normalised_name_team,high,,
523705,12113,exact_normalised_name_team,high,,
431248,12721,exact_normalised_name_team,high,,
488213,8875,exact_normalised_name_team,high,,
647671,13484,exact_normalised_name_team,high,,
685628,14394,exact_normalised_name_team,high,,
209041,5598,exact_normalised_name_team,high,,
155511,4419,exact_normalised_name_team,high,,
232413,8706,exact_normalised_name_only_unique,high,,
444884,7546,exact_normalised_name_only_unique,high,,
101178,843,exact_normalised_name_only_unique,high,,
242898,10760,exact_normalised_name_only_unique,high,,
247412,11070,exact_normalised_name_only_unique,high,,
485337,8006,exact_normalised_name_only_unique,high,,
550615,12573,exact_normalised_name_only_unique,high,,
477555,11903,exact_normalised_name_only_unique,high,,
536916,11362,exact_normalised_name_only_unique,high,,
437730,11363,exact_normalised_name_only_unique,high,,
209036,7603,exact_normalised_name_only_unique,high,,
184029,2517,fuzzy_0.966,medium,,
444145,7752,fuzzy_0.857,medium,,
481655,7526,fuzzy_0.821,medium,,
98980,4401,fuzzy_0.829,medium,,
195546,2203,fuzzy_0.842,medium,,
559962,13310,fuzzy_0.857,medium,,
518030,13731,fuzzy_0.875,medium,,
457569,12032,fuzzy_0.857,medium,,
560262,11504,fuzzy_0.867,medium,,
507433,12595,fuzzy_0.878,medium,,
508395,11772,fuzzy_0.933,medium,,
231416,13066,fuzzy_0.963,medium,,
215059,9098,fuzzy_0.824,medium,,
491007,13094,fuzzy_0.828,medium,,
152551,2182,fuzzy_0.833,medium,,
502697,11297,fuzzy_0.824,medium,,
80801,668,fuzzy_0.839,medium,,
209289,7230,fuzzy_0.968,medium,,
577725,12410,fuzzy_0.900,medium,,
171287,987,fuzzy_0.857,medium,,
448514,6674,fuzzy_0.966,medium,,
578153,11763,fuzzy_0.944,medium,,
451302,12054,fuzzy_0.923,medium,,
441191,9512,fuzzy_0.857,medium,,
465680,8056,fuzzy_0.829,medium,,
223827,13715,fuzzy_0.880,medium,,
210494,6935,fuzzy_0.870,medium,,
536109,12358,fuzzy_0.889,medium,,
